Consumer,657,74200
Producer,15,571400
Consumer,1888,2700
Consumer,1736,1900
Consumer,792,1800
Producer,4652,960800
Consumer,1363,1900
Producer,1823,215900
Consumer,705,1900
Consumer,2333,3600
Producer,338,1389200
Consumer,3686,2600
Producer,1887,2105600
Producer,66,945100
Consumer,4245,2000
Producer,3867,1667400
Producer,2167,546400
Producer,2195,405700
Consumer,4399,6400
Consumer,1090,1900
Producer,4809,1564900
Consumer,4458,11400
Producer,4971,2781400
Consumer,4578,2700
Consumer,2881,2500
Consumer,419,3300
Producer,1506,1148600
Producer,4430,2500
Producer,160,792800
Consumer,2148,2300
Producer,2937,1103100
Consumer,4178,6000
Producer,2867,417800
Producer,2365,265200
Consumer,2748,4300
Producer,2961,1020500
Consumer,3453,2400
Producer,2185,754000
Consumer,2050,3300
Consumer,2255,3600
Producer,4481,1432400
Consumer,3481,1700
Producer,4592,1516400
Consumer,225,2500
Consumer,3283,1800
Producer,1741,755300
Consumer,1994,1900
Producer,4006,1491600
Consumer,3254,2000
Consumer,1287,1700
Producer,765,1057500
Consumer,465,3300
Consumer,4515,3000
Producer,4370,1945800
Producer,4128,1211600
Producer,234,1072900
Consumer,4853,2300
Producer,1115,488600
Producer,2771,492000
Consumer,829,4200
Consumer,4026,1800
Producer,584,3300
Producer,1615,1990300
Producer,313,633200
Consumer,1971,2800
Producer,1765,2000
Producer,1691,193000
Consumer,2204,4800
Consumer,1801,6700
Producer,4866,2757800
Consumer,1190,35000
Consumer,1867,2900
Producer,3593,1217700
Consumer,759,1800
Consumer,4968,1700
Producer,3255,184200
Producer,78,695500
Consumer,971,1800
Producer,2335,1608100
Consumer,4974,4800
Producer,4848,962000
Consumer,4941,3700
Producer,4971,1396100
Consumer,639,8400
Consumer,2548,3300
Producer,3724,1389400
Consumer,332,2100
Producer,1389,666400
Consumer,2025,1700
Producer,1724,269100
Consumer,1646,3500
Consumer,547,4900
Consumer,3433,2300
Producer,2219,1622400
Consumer,3675,3000
Producer,4653,3613900
Consumer,2034,2100
Producer,1415,1106500
Consumer,2827,2400
Producer,4800,824800
Consumer,3865,2100
Producer,4660,2795400
Consumer,2266,2000
Consumer,4744,1900
Producer,2756,1382300
Producer,2078,719400
Producer,2184,730600
Consumer,1240,6000
Consumer,565,2600
Consumer,4370,4600
Producer,4472,4066300
Producer,1518,2150400
Consumer,1895,2200
Consumer,1111,2600
Consumer,802,2400
Producer,3043,1688000
Producer,1186,1300100
Consumer,62,2800
Consumer,939,2300
Consumer,4291,2000
Producer,3648,1718700
Consumer,4433,6800
Producer,2766,4622000
Consumer,1230,8600
Producer,490,1790000
Producer,4320,3935700
Consumer,627,1400
Consumer,2302,1300
Consumer,2108,1300
Producer,3067,2322700
Consumer,3607,1000
Producer,4906,3125000
Consumer,3192,1100
Producer,3551,2877600
Consumer,1179,1100
Consumer,1767,1200
Consumer,2713,900
Producer,1417,2684400
Producer,1908,2705700
Producer,546,2324300
Producer,1259,2403100
Consumer,889,1800
Consumer,1601,1500
Consumer,2353,900
Producer,4996,2372600
Consumer,4598,1200
Producer,3646,4446200
Consumer,3211,3000
Producer,460,2310000
Consumer,2124,1400
Producer,4998,3364900
Consumer,1836,2100
Consumer,4469,211900
Producer,1409,2954100
Producer,29,1300
Producer,4932,5599400
Consumer,1044,1200
Consumer,1315,1400
Producer,412,2315400
Consumer,3630,1900
Producer,4668,3760100
Producer,1984,1848300
Consumer,1561,6400
Consumer,4959,600
Producer,2979,2967100
Producer,618,2318400
Producer,293,2342400
Consumer,2336,1500
Producer,3652,2407400
Consumer,628,2300
Consumer,3336,1000
Producer,3031,4958200
Consumer,1664,1700
Producer,819,2065400
Producer,1761,2129500
Consumer,662,1400
Consumer,1821,2100
Producer,3128,4678800
Consumer,1451,1000
Producer,1359,2368100
Producer,1233,2025200
Consumer,3261,1500
Producer,2081,1771000
Consumer,640,1300
Producer,577,1825100
Consumer,760,1300
Consumer,747,1100
Consumer,1545,2400
Producer,4039,5391900
Consumer,3542,1500
Consumer,2353,1300
Producer,1775,2110200
Producer,2860,2750700
Consumer,4997,2000
Producer,4007,4752300
Consumer,351,2200
Producer,2807,2087300
Consumer,371,2800
Consumer,3301,6400
Producer,1607,3539000
Consumer,3457,1800
Producer,4413,10911900
Consumer,253,1400
Consumer,1450,1900
Consumer,3201,1300
Producer,3425,5329300
Consumer,2748,1100
Producer,2118,5298300
Producer,1544,4857400
Producer,284,4856200
Consumer,3286,7400
Producer,4150,6173000
Consumer,1422,1100
Consumer,1368,1100
Consumer,4673,1200
Producer,4660,5568000
Producer,3438,4672500
Consumer,1748,6900
