Producer,863,200
Producer,218,100
Consumer,711,100
Consumer,1676,100
Producer,2968,300
Consumer,2733,2425200
Producer,892,100
Producer,2806,300
Consumer,3884,3700800
Producer,5,200
Producer,1607,300
Producer,1227,100
Consumer,390,2517400
Consumer,789,100
Consumer,690,699400
Producer,106,0
Producer,936,0
Consumer,2051,100
Producer,536,100
Producer,2213,300
Consumer,2655,6588700
Producer,2719,100
Consumer,1583,1248000
Consumer,906,100
Producer,4081,100
Consumer,3640,8213900
Producer,1816,200
Producer,1296,100
Producer,3218,200
Consumer,2919,3377800
Consumer,3477,4196300
Producer,656,100
Consumer,1229,200
Producer,366,0
Producer,1212,100
Producer,2322,0
Consumer,1293,100
Consumer,1398,1383100
Producer,108,0
Producer,2788,0
Consumer,4343,20441300
Producer,3868,100
Consumer,3070,3259800
Producer,575,400
Producer,4943,100
Consumer,3249,9107500
Consumer,3139,1518700
Producer,4129,0
Consumer,3829,7437300
Producer,2623,100
Consumer,2903,1452000
Producer,4314,100
Consumer,4272,10068300
Producer,986,200
Producer,2959,100
Producer,4888,200
Consumer,2690,2595600
Consumer,3697,100
Producer,3268,200
Consumer,4065,9807900
Consumer,63,100
Consumer,286,100
Consumer,1183,1222300
Producer,2979,100
Consumer,2765,2028700
Producer,4044,200
Consumer,3575,26075300
Producer,1362,200
Producer,1082,0
Consumer,2104,528800
Producer,4531,100
Consumer,3678,8522700
Producer,3714,100
Consumer,4031,1868300
Consumer,839,0
Producer,757,100
Consumer,1005,100
Producer,2257,0
Consumer,1620,100
Producer,1997,100
Consumer,1495,100
Producer,3814,100
Consumer,3280,3452400
Consumer,32,100
Producer,13,100
Producer,689,100
Producer,4396,100
Consumer,4893,19113400
Producer,4329,100
Consumer,4134,2275200
Producer,2234,100
Consumer,4070,4135100
Producer,4362,100
Consumer,4508,8185900
Producer,4114,0
Consumer,4710,10973100
Producer,3000,100
Consumer,2807,650800
Producer,4544,200
Consumer,3214,8125400
Consumer,303,611700
Producer,2402,200
Consumer,3618,15291500
Producer,3215,100
Consumer,1853,656500
Producer,544,200
Consumer,1678,1443200
Producer,1885,200
Consumer,2116,464800
Producer,4359,200
Consumer,3518,0
Producer,2506,100
Consumer,3185,4556300
Producer,1870,100
Producer,2700,100
Consumer,4703,11210300
Producer,3478,200
Consumer,2848,200
Producer,2911,300
Consumer,3628,11735800
Producer,458,100
Producer,947,200
Producer,957,300
Consumer,1001,640000
Producer,2463,100
Consumer,3058,2227500
Producer,2661,300
Producer,3158,100
Consumer,4355,2264800
Producer,4330,200
Consumer,3962,6013500
Consumer,2594,978500
Producer,2099,100
Producer,2902,100
Consumer,4420,7326300
Consumer,228,100
Producer,4020,100
Consumer,4380,9936300
Producer,2975,200
Consumer,1350,100
Producer,892,200
Producer,1698,200
Consumer,3292,2565300
Producer,3085,200
Consumer,3303,29415400
Producer,907,300
Producer,298,300
Producer,1044,200
Consumer,2363,5547100
Producer,3509,100
Consumer,2823,6267300
Consumer,1054,100
Producer,4207,100
Consumer,3239,759500
Producer,705,0
Producer,2292,200
Consumer,3813,21426900
Producer,2282,100
Consumer,1157,1644500
Consumer,831,5308200
Producer,3656,200
Consumer,3563,1684400
Producer,3214,600
Consumer,3794,19685700
Producer,1663,100
Consumer,1829,300
Producer,4373,100
Consumer,3474,40670000
Producer,1997,100
Consumer,2405,1711800
Producer,20,200
Producer,1138,100
Producer,3650,100
Consumer,4980,7698500
Producer,3422,100
Consumer,3309,14394400
Producer,945,200
Producer,673,100
Consumer,1735,1467900
Producer,1007,100
Consumer,110,0
Producer,1941,300
Producer,182,100
Consumer,1417,400
Consumer,1921,300
Producer,2368,100
Consumer,2325,1094200
Producer,1715,200
